# time[s], acceleration[m.s^-2]
6.270000000000000462e+00,-6.775392810313029202e+00
6.273333333333333428e+00,-6.747440523015311165e+00
6.276666666666667282e+00,-6.751515487266123827e+00
6.280000000000000249e+00,-6.749340310283309385e+00
6.283333333333334103e+00,-6.709344683519281816e+00
6.286666666666667069e+00,-6.748274888097225421e+00
6.290000000000000036e+00,-6.713442715585927978e+00
6.293333333333333890e+00,-6.727530533120585687e+00
6.296666666666666856e+00,-6.717125092942558773e+00
6.300000000000000711e+00,-6.697642732939526944e+00
6.303333333333333677e+00,-6.678341156088496433e+00
6.306666666666666643e+00,-6.672716925281566347e+00
6.310000000000000497e+00,-6.671222919107458793e+00
6.313333333333333464e+00,-6.689713022636162520e+00
6.316666666666667318e+00,-6.658115174848050266e+00
6.320000000000000284e+00,-6.651395391416172309e+00
6.323333333333334139e+00,-6.652285147118967679e+00
6.326666666666667105e+00,-6.638143530558500593e+00
6.330000000000000071e+00,-6.647799568166509410e+00
6.333333333333333925e+00,-6.633966121457820719e+00
6.336666666666666892e+00,-6.612654089643027255e+00
6.340000000000000746e+00,-6.629576268966687280e+00
6.343333333333333712e+00,-6.639167653896967281e+00
6.346666666666666679e+00,-6.599361580605359379e+00
6.350000000000000533e+00,-6.585168515260396482e+00
6.353333333333333499e+00,-6.574520204078193153e+00
6.356666666666667354e+00,-6.585829192037432556e+00
6.360000000000000320e+00,-6.581680883948564542e+00
6.363333333333334174e+00,-6.539677613312210092e+00
6.366666666666667140e+00,-6.520773697831716120e+00
6.370000000000000107e+00,-6.563911441146951020e+00
6.373333333333333961e+00,-6.540435274205897542e+00
6.376666666666666927e+00,-6.526740204743681772e+00
6.380000000000000782e+00,-6.495101876064947710e+00
6.383333333333333748e+00,-6.510921208076059230e+00
6.386666666666666714e+00,-6.531404597602545437e+00
6.390000000000000568e+00,-6.527722040040040419e+00
6.393333333333333535e+00,-6.493167859627392957e+00
6.396666666666667389e+00,-6.482687023146601391e+00
6.400000000000000355e+00,-6.491087066410774931e+00
6.403333333333333321e+00,-6.464371698430684710e+00
6.406666666666667176e+00,-6.468046307380830306e+00
6.410000000000000142e+00,-6.453034946897830082e+00
6.413333333333333997e+00,-6.448114202120080130e+00
6.416666666666666963e+00,-6.450001932359901602e+00
6.420000000000000817e+00,-6.418856175676279641e+00
6.423333333333333783e+00,-6.420286825522616425e+00
6.426666666666666750e+00,-6.401827744260327080e+00
6.430000000000000604e+00,-6.405656590052994481e+00
6.433333333333333570e+00,-6.400028356594680723e+00
6.436666666666667425e+00,-6.411505137790688202e+00
6.440000000000000391e+00,-6.378417805718147982e+00
6.443333333333333357e+00,-6.373938612774770363e+00
6.446666666666667211e+00,-6.369969414982975309e+00
6.450000000000000178e+00,-6.369694444695807256e+00
6.453333333333334032e+00,-6.370009051049268400e+00
6.456666666666666998e+00,-6.338795106646080590e+00
6.460000000000000853e+00,-6.345152060016507001e+00
6.463333333333333819e+00,-6.322318827843459665e+00
6.466666666666666785e+00,-6.308309418599931107e+00
6.470000000000000639e+00,-6.326443896761808183e+00
6.473333333333333606e+00,-6.312225007471071514e+00
6.476666666666667460e+00,-6.290037461478859449e+00
6.480000000000000426e+00,-6.250300728321396271e+00
6.483333333333333393e+00,-6.291187338748100544e+00
6.486666666666667247e+00,-6.271680739752333089e+00
6.490000000000000213e+00,-6.253181966247036705e+00
6.493333333333334068e+00,-6.249536508446251304e+00
6.496666666666667034e+00,-6.263702802363853905e+00
6.500000000000000000e+00,-6.229375509247312870e+00
6.503333333333333854e+00,-6.239669075216536243e+00
6.506666666666666821e+00,-6.235259329736151379e+00
6.510000000000000675e+00,-6.207445880224727652e+00
6.513333333333333641e+00,-6.210659358810777242e+00
6.516666666666667496e+00,-6.213435138643038869e+00
6.520000000000000462e+00,-6.206877791559739066e+00
6.523333333333333428e+00,-6.205877223612328741e+00
6.526666666666667282e+00,-6.189479128687741749e+00
6.530000000000000249e+00,-6.189872675114524547e+00
6.533333333333334103e+00,-6.174938821035500069e+00
6.536666666666667069e+00,4.085480789512546949e+02
6.540000000000000036e+00,3.883663436211458588e+02
6.543333333333333890e+00,3.691551260575675428e+02
6.546666666666666856e+00,3.500086209950065950e+02
6.550000000000000711e+00,3.318017385152181760e+02
6.553333333333333677e+00,3.143933415923297616e+02
6.556666666666667531e+00,2.990188138647003484e+02
6.560000000000000497e+00,2.837456398812661860e+02
6.563333333333333464e+00,2.680093756667185971e+02
6.566666666666667318e+00,2.527687839078177490e+02
6.570000000000000284e+00,2.408190849539883800e+02
6.573333333333334139e+00,2.264666031325710946e+02
6.576666666666667105e+00,2.141936012698980676e+02
6.580000000000000071e+00,2.028512425969531421e+02
6.583333333333333925e+00,1.914731124882547988e+02
6.586666666666666892e+00,1.808934466006661523e+02
6.590000000000000746e+00,1.695358504168113711e+02
6.593333333333333712e+00,1.605808942474570244e+02
6.596666666666666679e+00,1.509656553469322944e+02
6.600000000000000533e+00,1.422941808749670827e+02
6.603333333333333499e+00,1.339709686030383295e+02
6.606666666666667354e+00,1.250912941929881441e+02
6.610000000000000320e+00,1.181114046649858977e+02
6.613333333333334174e+00,1.108309591658195501e+02
6.616666666666667140e+00,1.036276452100320427e+02
6.620000000000000107e+00,9.710149544994011706e+01
6.623333333333333961e+00,9.092800503514138200e+01
6.626666666666666927e+00,8.506000577545813712e+01
6.630000000000000782e+00,7.929915057130776290e+01
6.633333333333333748e+00,7.392402727317721656e+01
6.636666666666666714e+00,6.856203215931695638e+01
6.640000000000000568e+00,6.380651545290358229e+01
6.643333333333333535e+00,5.936545472859261707e+01
6.646666666666667389e+00,5.475420238425697050e+01
6.650000000000000355e+00,5.074928545274038783e+01
6.653333333333333321e+00,4.694989150780400422e+01
6.656666666666667176e+00,4.282959097165974072e+01
6.660000000000000142e+00,3.963584925885668042e+01
6.663333333333333997e+00,3.622890411909229158e+01
6.666666666666666963e+00,3.309772944599539812e+01
6.670000000000000817e+00,3.017227218860310600e+01
6.673333333333333783e+00,2.729758746013237314e+01
6.676666666666666750e+00,2.466726718444040856e+01
6.680000000000000604e+00,2.220246877793045925e+01
6.683333333333333570e+00,1.977918163531255757e+01
6.686666666666667425e+00,1.757183414633149710e+01
6.690000000000000391e+00,1.543912825240247066e+01
6.693333333333333357e+00,1.352337806125593289e+01
6.696666666666667211e+00,1.160699979012858485e+01
6.700000000000000178e+00,9.862738780689541684e+00
6.703333333333334032e+00,8.232518749312303541e+00
6.706666666666666998e+00,6.702850158625602184e+00
6.710000000000000853e+00,5.251360265879352340e+00
6.713333333333333819e+00,3.896472920680754015e+00
6.716666666666666785e+00,2.620813860727032374e+00
6.720000000000000639e+00,1.446723063552605604e+00
6.723333333333333606e+00,3.437454677912006318e-01
6.726666666666667460e+00,-6.883710579277720898e-01
6.730000000000000426e+00,-1.660755568441249608e+00
6.733333333333333393e+00,-2.550439354854479923e+00
6.736666666666667247e+00,-3.366715741852204236e+00
6.740000000000000213e+00,-4.167481892987865422e+00
6.743333333333334068e+00,-4.861208702163386519e+00
6.746666666666667034e+00,-5.543010924231282388e+00
6.750000000000000000e+00,-6.136020502816282196e+00
6.753333333333333854e+00,-6.677425200044677212e+00
6.756666666666666821e+00,-7.186830917948985764e+00
6.760000000000000675e+00,-7.688281040954167977e+00
6.763333333333333641e+00,-8.131600793130363769e+00
6.766666666666667496e+00,-8.533123851830527684e+00
6.770000000000000462e+00,-8.868519642619347110e+00
6.773333333333333428e+00,-9.175450357239444799e+00
6.776666666666667282e+00,-9.472636485536472861e+00
6.780000000000000249e+00,-9.733633477419319391e+00
6.783333333333334103e+00,-9.980888071761839342e+00
6.786666666666667069e+00,-1.017643007161722757e+01
6.790000000000000036e+00,-1.034803259912440154e+01
6.793333333333333890e+00,-1.046126345745311959e+01
6.796666666666666856e+00,-1.061763861568014100e+01
6.800000000000000711e+00,-1.073964455858203415e+01
6.803333333333333677e+00,-1.084109347342624474e+01
6.806666666666667531e+00,-1.093216321789300594e+01
6.810000000000000497e+00,-1.097625377812343572e+01
6.813333333333333464e+00,-1.100511352478080518e+01
6.816666666666667318e+00,-1.100982010771864950e+01
6.820000000000000284e+00,-1.098376199189802804e+01
6.823333333333334139e+00,-1.103074800014678303e+01
6.826666666666667105e+00,-1.102146350541963926e+01
6.830000000000000071e+00,-1.091814082936918240e+01
6.833333333333333925e+00,-1.092575347479226622e+01
6.836666666666666892e+00,-1.085686055780376513e+01
6.840000000000000746e+00,-1.083779187677674472e+01
6.843333333333333712e+00,-1.076107747183148433e+01
6.846666666666666679e+00,-1.067941358488232950e+01
6.850000000000000533e+00,-1.061916980874673477e+01
6.853333333333333499e+00,-1.046836578079597224e+01
6.856666666666667354e+00,-1.038737261212980378e+01
6.860000000000000320e+00,-1.027478675756709059e+01
6.863333333333334174e+00,-1.018945519692007018e+01
6.866666666666667140e+00,-1.008049948061313650e+01
6.870000000000000107e+00,-9.949798559701987344e+00
6.873333333333333961e+00,-9.836282415688168967e+00
6.876666666666666927e+00,-9.713781486365423490e+00
6.880000000000000782e+00,-9.574432523025233621e+00
6.883333333333333748e+00,-9.456156132454715646e+00
6.886666666666666714e+00,-9.338226203578328111e+00
6.890000000000000568e+00,-9.178279321766277477e+00
6.893333333333333535e+00,-9.021661681148465561e+00
6.896666666666667389e+00,-8.915021809175240008e+00
6.900000000000000355e+00,-8.758387960307299380e+00
6.903333333333334210e+00,-8.651899881439149453e+00
6.906666666666667176e+00,-8.476116190282578344e+00
6.910000000000000142e+00,-8.344117972649844006e+00
6.913333333333333997e+00,-8.219471771307244268e+00
6.916666666666666963e+00,-8.088339675890271252e+00
6.920000000000000817e+00,-7.943185540900683961e+00
6.923333333333333783e+00,-7.751763145650024889e+00
6.926666666666666750e+00,-7.647189575163549691e+00
6.930000000000000604e+00,-7.506633594836062073e+00
6.933333333333333570e+00,-7.346202151061407726e+00
6.936666666666667425e+00,-7.228910044441631655e+00
6.940000000000000391e+00,-7.087756970524614175e+00
6.943333333333333357e+00,-6.946362639289559660e+00
6.946666666666667211e+00,-6.791375538562665959e+00
6.950000000000000178e+00,-6.639141883181319592e+00
6.953333333333334032e+00,-6.531841551562001413e+00
6.956666666666666998e+00,-6.372440116455436510e+00
6.960000000000000853e+00,-6.245685987602791478e+00
6.963333333333333819e+00,-6.129105397417496270e+00
6.966666666666666785e+00,-6.009339130438397625e+00
6.970000000000000639e+00,-5.871441252801951727e+00
6.973333333333333606e+00,-5.725795434389032934e+00
6.976666666666667460e+00,-5.604499051602200410e+00
6.980000000000000426e+00,-5.485548694791281932e+00
6.983333333333333393e+00,-5.379244814872396141e+00
6.986666666666667247e+00,-5.255661756289049968e+00
6.990000000000000213e+00,-5.130993065007093179e+00
6.993333333333334068e+00,-4.996730938253577392e+00
6.996666666666667034e+00,-4.887862405790997400e+00
7.000000000000000888e+00,-4.787966232156835034e+00
7.003333333333333854e+00,-4.669747132383774257e+00
7.006666666666666821e+00,-4.560831336818503168e+00
7.010000000000000675e+00,-4.433523903042820180e+00
7.013333333333333641e+00,-4.326594814897798180e+00
7.016666666666667496e+00,-4.232047908667817104e+00
7.020000000000000462e+00,-4.116433170922180196e+00
7.023333333333333428e+00,-4.018011019117691873e+00
7.026666666666667282e+00,-3.925022400116428667e+00
7.030000000000000249e+00,-3.820816481019736699e+00
7.033333333333334103e+00,-3.712578893155314752e+00
7.036666666666667069e+00,-3.628745772085764543e+00
7.040000000000000036e+00,-3.536228761963257750e+00
7.043333333333333890e+00,-3.438473512543586352e+00
7.046666666666666856e+00,-3.345251996717903964e+00
7.050000000000000711e+00,-3.256906384393804643e+00
7.053333333333333677e+00,-3.175899150338177712e+00
7.056666666666667531e+00,-3.089778910818328228e+00
7.060000000000000497e+00,-3.006097366435213747e+00
7.063333333333333464e+00,-2.916818350549365668e+00
7.066666666666667318e+00,-2.839807282617853534e+00
7.070000000000000284e+00,-2.761191201756385549e+00
7.073333333333334139e+00,-2.700902251705629364e+00
7.076666666666667105e+00,-2.605694158617606782e+00
7.080000000000000071e+00,-2.531763099638044245e+00
7.083333333333333925e+00,-2.464631280317906459e+00
7.086666666666666892e+00,-2.396043941015013168e+00
7.090000000000000746e+00,-2.318357798717515461e+00
7.093333333333333712e+00,-2.252977589997763985e+00
7.096666666666666679e+00,-2.197923082203203649e+00
7.100000000000000533e+00,-2.128331794246215214e+00
7.103333333333333499e+00,-2.053713172610553084e+00
7.106666666666667354e+00,-1.999550403253683495e+00
7.110000000000000320e+00,-1.933904378760374687e+00
7.113333333333334174e+00,-1.875240788340319709e+00
7.116666666666667140e+00,-1.816671392540138319e+00
7.120000000000000107e+00,-1.759836562519097702e+00
7.123333333333333961e+00,-1.702599257623101048e+00
7.126666666666666927e+00,-1.643649435610901266e+00
7.130000000000000782e+00,-1.597470603618217133e+00
7.133333333333333748e+00,-1.543825223520601142e+00
7.136666666666666714e+00,-1.497739855013515475e+00
7.140000000000000568e+00,-1.448168657858724950e+00
7.143333333333333535e+00,-1.397145396857316202e+00
7.146666666666667389e+00,-1.355855518772286494e+00
7.150000000000000355e+00,-1.308168640729749921e+00
7.153333333333334210e+00,-1.265984126752559336e+00
7.156666666666667176e+00,-1.222160902713681496e+00
7.160000000000000142e+00,-1.177216043138659574e+00
7.163333333333333997e+00,-1.135053659800960846e+00
7.166666666666666963e+00,-1.095594718527479916e+00
7.170000000000000817e+00,-1.057821358009172208e+00
7.173333333333333783e+00,-1.019436334179836923e+00
7.176666666666666750e+00,-9.823005129212165620e-01
7.180000000000000604e+00,-9.472292569715385913e-01
7.183333333333333570e+00,-9.099163241520062950e-01
7.186666666666667425e+00,-8.774284275280780365e-01
7.190000000000000391e+00,-8.465372544747048478e-01
7.193333333333333357e+00,-8.108768698694482913e-01
7.196666666666667211e+00,-7.828118364309933908e-01
7.200000000000000178e+00,-7.531461751994225073e-01
7.203333333333334032e+00,-7.214643099885346134e-01
7.206666666666666998e+00,-6.920343547372770354e-01
7.210000000000000853e+00,-6.671360764533331711e-01
7.213333333333333819e+00,-6.400666317450725007e-01
7.216666666666666785e+00,-6.133668753630209247e-01
7.220000000000000639e+00,-5.883845578888263761e-01
7.223333333333333606e+00,-5.621008663057547317e-01
7.226666666666667460e+00,-5.392241483481352571e-01
7.230000000000000426e+00,-5.164615366891145420e-01
7.233333333333333393e+00,-4.956008398809736981e-01
7.236666666666667247e+00,-4.733504079805898601e-01
7.240000000000000213e+00,-4.523914145095007111e-01
7.243333333333334068e+00,-4.331947278277576419e-01
7.246666666666667034e+00,-4.129475706905833543e-01
7.250000000000000888e+00,-3.962469344270728722e-01
7.253333333333333854e+00,-3.778155883389883174e-01
7.256666666666666821e+00,-3.605538026345828095e-01
7.260000000000000675e+00,-3.431006000896994479e-01
7.263333333333333641e+00,-3.261181580463509699e-01
7.266666666666667496e+00,-3.101553346362535546e-01
7.270000000000000462e+00,-2.957712535405899734e-01
7.273333333333333428e+00,-2.817233243919306518e-01
7.276666666666667282e+00,-2.673963913849959906e-01
7.280000000000000249e+00,-2.538125189937450177e-01
7.283333333333334103e+00,-2.411771613585310670e-01
7.286666666666667069e+00,-2.283693322986455054e-01
7.290000000000000036e+00,-2.160819351697078894e-01
7.293333333333333890e+00,-2.058078705476338588e-01
7.296666666666666856e+00,-1.934576782705370868e-01
7.300000000000000711e+00,-1.833850385526391569e-01
7.303333333333333677e+00,-1.737582305102010061e-01
7.306666666666667531e+00,-1.642865206818564794e-01
7.310000000000000497e+00,-1.544188473868262357e-01
7.313333333333333464e+00,-1.452557456141572723e-01
7.316666666666667318e+00,-1.370873951254599488e-01
7.320000000000000284e+00,-1.288604761946738064e-01
7.323333333333334139e+00,-1.215580871630612125e-01
7.326666666666667105e+00,-1.140997385526283797e-01
7.330000000000000071e+00,-1.070275774200961233e-01
7.333333333333333925e+00,-1.000155864882597556e-01
7.336666666666666892e+00,-9.361052120674594190e-02
7.340000000000000746e+00,-8.748195903357379455e-02
7.343333333333333712e+00,-8.160385952780352392e-02
7.346666666666667567e+00,-7.622798421228889343e-02
7.350000000000000533e+00,-7.105681470872664274e-02
7.353333333333333499e+00,-6.595702575620181196e-02
7.356666666666667354e+00,-6.158002196330487898e-02
7.360000000000000320e+00,-5.696033424653164368e-02
7.363333333333334174e+00,-5.266920788036640738e-02
7.366666666666667140e+00,-4.900442715867153048e-02
7.370000000000000107e+00,-4.516529778166228359e-02
7.373333333333333961e+00,-4.169286569729231673e-02
7.376666666666666927e+00,-3.837534686046588372e-02
7.380000000000000782e+00,-3.536315211650258722e-02
7.383333333333333748e+00,-3.239174149348374859e-02
7.386666666666666714e+00,-2.961178292545931304e-02
7.390000000000000568e+00,-2.702479957530466714e-02
7.393333333333333535e+00,-2.464464205617306752e-02
7.396666666666667389e+00,-2.258079169385225626e-02
7.400000000000000355e+00,-2.044302811226750283e-02
7.403333333333334210e+00,-1.848404326159773514e-02
7.406666666666667176e+00,-1.674103305320972720e-02
7.410000000000000142e+00,-1.503246500038741586e-02
7.413333333333333997e+00,-1.353716294977767853e-02
7.416666666666666963e+00,-1.212731969449054592e-02
7.420000000000000817e+00,-1.083645426515640088e-02
7.423333333333333783e+00,-9.625507144215537242e-03
7.426666666666666750e+00,-8.560873862549632507e-03
7.430000000000000604e+00,-7.583718530703470462e-03
7.433333333333333570e+00,-6.669996148327785902e-03
7.436666666666667425e+00,-5.858983142920175594e-03
7.440000000000000391e+00,-5.108127993223554250e-03
7.443333333333334245e+00,-4.454002580267702252e-03
7.446666666666667211e+00,-3.851671462556524421e-03
7.450000000000000178e+00,-3.290410987888132965e-03
7.453333333333334032e+00,-2.811483628710444854e-03
7.456666666666666998e+00,-2.387556101479225944e-03
7.460000000000000853e+00,-2.026194803556245674e-03
7.463333333333333819e+00,-1.688938800074122910e-03
7.466666666666666785e+00,-1.403374906544384033e-03
7.470000000000000639e+00,-1.157002558831077407e-03
7.473333333333333606e+00,-9.412518418900788549e-04
7.476666666666667460e+00,-7.601866353000249783e-04
7.480000000000000426e+00,-6.031148502169993153e-04
7.483333333333333393e+00,-4.729610047915280011e-04
7.486666666666667247e+00,-3.656421436541934739e-04
7.490000000000000213e+00,-2.783144011287345498e-04
7.493333333333334068e+00,-2.053606034569494757e-04
7.496666666666667034e+00,-1.492562655122118079e-04
7.500000000000000888e+00,-1.056879215031100987e-04
7.503333333333333854e+00,-7.209998544268378211e-05
7.506666666666666821e+00,-4.721443515387393190e-05
7.510000000000000675e+00,-2.953080970975090550e-05
7.513333333333333641e+00,-1.734260380584164065e-05
7.516666666666667496e+00,-9.366167481138208976e-06
7.520000000000000462e+00,-4.515218402354147051e-06
7.523333333333333428e+00,-1.849003717224987446e-06
7.526666666666667282e+00,-5.853925962264981684e-07
7.530000000000000249e+00,-1.156019035831729303e-07
7.533333333333334103e+00,-7.225508672157830362e-09
7.536666666666667069e+00,0.000000000000000000e+00
7.540000000000000924e+00,0.000000000000000000e+00
7.543333333333333890e+00,0.000000000000000000e+00
7.546666666666666856e+00,0.000000000000000000e+00
7.550000000000000711e+00,0.000000000000000000e+00
7.553333333333333677e+00,0.000000000000000000e+00
7.556666666666667531e+00,0.000000000000000000e+00
7.560000000000000497e+00,0.000000000000000000e+00
7.563333333333333464e+00,0.000000000000000000e+00
7.566666666666667318e+00,0.000000000000000000e+00
7.570000000000000284e+00,0.000000000000000000e+00
7.573333333333334139e+00,0.000000000000000000e+00
7.576666666666667105e+00,0.000000000000000000e+00
7.580000000000000071e+00,0.000000000000000000e+00
7.583333333333333925e+00,0.000000000000000000e+00
7.586666666666666892e+00,0.000000000000000000e+00
7.590000000000000746e+00,0.000000000000000000e+00
7.593333333333333712e+00,0.000000000000000000e+00
7.596666666666667567e+00,0.000000000000000000e+00
7.600000000000000533e+00,0.000000000000000000e+00
7.603333333333333499e+00,0.000000000000000000e+00
7.606666666666667354e+00,0.000000000000000000e+00
7.610000000000000320e+00,0.000000000000000000e+00
7.613333333333334174e+00,0.000000000000000000e+00
7.616666666666667140e+00,0.000000000000000000e+00
7.620000000000000107e+00,0.000000000000000000e+00
7.623333333333333961e+00,0.000000000000000000e+00
7.626666666666666927e+00,0.000000000000000000e+00
7.630000000000000782e+00,0.000000000000000000e+00
7.633333333333333748e+00,0.000000000000000000e+00
7.636666666666666714e+00,0.000000000000000000e+00
7.640000000000000568e+00,0.000000000000000000e+00
7.643333333333333535e+00,0.000000000000000000e+00
7.646666666666667389e+00,0.000000000000000000e+00
7.650000000000000355e+00,0.000000000000000000e+00
7.653333333333334210e+00,0.000000000000000000e+00
